iter	Passed	Remaining
0	67	13524
1	88	8794
2	151	9975
3	170	8351
4	226	8832
5	245	7943
6	305	8430
7	324	7787
8	383	8136
9	401	7635
10	464	7972
11	484	7583
12	547	7878
13	566	7523
14	622	7680
15	645	7425
16	704	7582
17	728	7362
18	787	7501
19	810	7298
20	875	7458
21	896	7255
22	955	7351
23	980	7193
24	1043	7303
25	1065	7132
26	1126	7220
27	1145	7034
28	1209	7129
29	1227	6957
30	1285	7010
31	1305	6855
32	1365	6908
33	1383	6756
34	1439	6787
35	1460	6655
36	1520	6698
37	1540	6566
38	1602	6613
39	1620	6480
40	1679	6513
41	1695	6379
42	1751	6395
43	1771	6279
44	1824	6285
45	1844	6173
46	1899	6184
47	1922	6088
48	1981	6105
49	2000	6000
50	2062	6024
51	2081	5925
52	2139	5932
53	2163	5848
54	2219	5850
55	2241	5764
56	2299	5769
57	2321	5683
58	2374	5674
59	2400	5600
60	2461	5608
61	2480	5520
62	2538	5520
63	2559	5439
64	2619	5440
65	2636	5352
66	2694	5349
67	2712	5265
68	2766	5252
69	2788	5178
70	2845	5169
71	2867	5097
72	2928	5094
73	2940	5007
74	2996	4994
75	3019	4926
76	3079	4919
77	3098	4846
78	3161	4842
79	3180	4770
80	3240	4761
81	3258	4689
82	3318	4677
83	3336	4607
84	3393	4591
85	3415	4527
86	3474	4512
87	3495	4448
88	3550	4427
89	3575	4370
90	3632	4350
91	3651	4286
92	3714	4273
93	3731	4207
94	3787	4186
95	3807	4125
96	3868	4108
97	3888	4046
98	3947	4027
99	3968	3968
100	4022	3943
101	4040	3881
102	4100	3861
103	4118	3801
104	4175	3777
105	4197	3722
106	4257	3700
107	4273	3640
108	4334	3618
109	4353	3561
110	4412	3537
111	4431	3481
112	4490	3457
113	4507	3400
114	4564	3373
115	4582	3318
116	4642	3293
117	4659	3238
118	4720	3213
119	4739	3159
120	4795	3131
121	4820	3081
122	4879	3054
123	4902	3004
124	4958	2975
125	4980	2924
126	5044	2899
127	5063	2848
128	5125	2820
129	5143	2769
130	5203	2740
131	5227	2693
132	5291	2665
133	5310	2615
134	5372	2586
135	5392	2537
136	5449	2505
137	5472	2458
138	5526	2425
139	5549	2378
140	5603	2344
141	5624	2297
142	5685	2266
143	5701	2217
144	5758	2184
145	5779	2137
146	5841	2106
147	5859	2058
148	5916	2024
149	5937	1979
150	5995	1945
151	6015	1899
152	6072	1865
153	6095	1820
154	6152	1786
155	6171	1740
156	6224	1704
157	6247	1660
158	6306	1626
159	6324	1581
160	6383	1546
161	6402	1501
162	6460	1466
163	6479	1422
164	6546	1388
165	6566	1344
166	6628	1309
167	6647	1266
168	6707	1230
169	6726	1187
170	6782	1150
171	6801	1107
172	6856	1070
173	6876	1027
174	6936	990
175	6954	948
176	7015	911
177	7034	869
178	7094	832
179	7114	790
180	7176	753
181	7196	711
182	7255	674
183	7275	632
184	7335	594
185	7354	553
186	7415	515
187	7434	474
188	7495	436
189	7513	395
190	7570	356
191	7594	316
192	7657	277
193	7674	237
194	7735	198
195	7752	158
196	7811	118
197	7832	79
198	7892	39
199	7910	0
